song,year,album,peak,us_pop,us_rnb,charted,chart_level,decade,word
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,watch
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,fall
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,stand
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,love
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,smoke
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,intellect
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,savior
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,faire
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,universe
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,compare
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,mine
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,space
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,time
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,angel
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,hand
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,holds
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,words
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,compassion
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,peace
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,distance
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,army
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,marching
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,feet
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,behold
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,sand
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,animosity
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,decree
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,speak
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,blasphemy
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,curse
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,plague
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,river
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,blood
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,evil
7,1992,Symbol,3,7,61,Charted,Top 10,1990s,soul
