word,sentiment,lexicon,words_in_lexicon
abandon,negative,AFINN,2477
abandoned,negative,AFINN,2477
abandons,negative,AFINN,2477
abducted,negative,AFINN,2477
abduction,negative,AFINN,2477
abductions,negative,AFINN,2477
abhor,negative,AFINN,2477
abhorred,negative,AFINN,2477
abhorrent,negative,AFINN,2477
abhors,negative,AFINN,2477
abilities,positive,AFINN,2477
ability,positive,AFINN,2477
aboard,positive,AFINN,2477
absentee,negative,AFINN,2477
absentees,negative,AFINN,2477
absolve,positive,AFINN,2477
absolved,positive,AFINN,2477
absolves,positive,AFINN,2477
absolving,positive,AFINN,2477
absorbed,positive,AFINN,2477
abuse,negative,AFINN,2477
abused,negative,AFINN,2477
abuses,negative,AFINN,2477
abusive,negative,AFINN,2477
accept,positive,AFINN,2477
accepted,positive,AFINN,2477
accepting,positive,AFINN,2477
accepts,positive,AFINN,2477
accident,negative,AFINN,2477
accidental,negative,AFINN,2477
accidentally,negative,AFINN,2477
accidents,negative,AFINN,2477
accomplish,positive,AFINN,2477
accomplished,positive,AFINN,2477
accomplishes,positive,AFINN,2477
accusation,negative,AFINN,2477
accusations,negative,AFINN,2477
accuse,negative,AFINN,2477
accused,negative,AFINN,2477
accuses,negative,AFINN,2477
accusing,negative,AFINN,2477
ache,negative,AFINN,2477
achievable,positive,AFINN,2477
aching,negative,AFINN,2477
acquit,positive,AFINN,2477
acquits,positive,AFINN,2477
acquitted,positive,AFINN,2477
acquitting,positive,AFINN,2477
acrimonious,negative,AFINN,2477
active,positive,AFINN,2477
adequate,positive,AFINN,2477
admire,positive,AFINN,2477
admired,positive,AFINN,2477
admires,positive,AFINN,2477
admiring,positive,AFINN,2477
admit,negative,AFINN,2477
admits,negative,AFINN,2477
admitted,negative,AFINN,2477
admonish,negative,AFINN,2477
admonished,negative,AFINN,2477
adopt,positive,AFINN,2477
adopts,positive,AFINN,2477
adorable,positive,AFINN,2477
adore,positive,AFINN,2477
adored,positive,AFINN,2477
adores,positive,AFINN,2477
advanced,positive,AFINN,2477
advantage,positive,AFINN,2477
advantages,positive,AFINN,2477
adventure,positive,AFINN,2477
adventures,positive,AFINN,2477
adventurous,positive,AFINN,2477
affected,negative,AFINN,2477
affection,positive,AFINN,2477
affectionate,positive,AFINN,2477
afflicted,negative,AFINN,2477
affronted,negative,AFINN,2477
afraid,negative,AFINN,2477
aggravate,negative,AFINN,2477
aggravated,negative,AFINN,2477
aggravates,negative,AFINN,2477
aggravating,negative,AFINN,2477
aggression,negative,AFINN,2477
aggressions,negative,AFINN,2477
aggressive,negative,AFINN,2477
aghast,negative,AFINN,2477
agog,positive,AFINN,2477
agonise,negative,AFINN,2477
agonised,negative,AFINN,2477
agonises,negative,AFINN,2477
agonising,negative,AFINN,2477
agonize,negative,AFINN,2477
agonized,negative,AFINN,2477
agonizes,negative,AFINN,2477
agonizing,negative,AFINN,2477
agree,positive,AFINN,2477
agreeable,positive,AFINN,2477
agreed,positive,AFINN,2477
agreement,positive,AFINN,2477
agrees,positive,AFINN,2477
alarm,negative,AFINN,2477
alarmed,negative,AFINN,2477
alarmist,negative,AFINN,2477
alarmists,negative,AFINN,2477
alas,negative,AFINN,2477
alert,negative,AFINN,2477
alienation,negative,AFINN,2477
alive,positive,AFINN,2477
allergic,negative,AFINN,2477
allow,positive,AFINN,2477
alone,negative,AFINN,2477
amaze,positive,AFINN,2477
amazed,positive,AFINN,2477
amazes,positive,AFINN,2477
amazing,positive,AFINN,2477
ambitious,positive,AFINN,2477
ambivalent,negative,AFINN,2477
amuse,positive,AFINN,2477
amused,positive,AFINN,2477
amusement,positive,AFINN,2477
amusements,positive,AFINN,2477
anger,negative,AFINN,2477
angers,negative,AFINN,2477
angry,negative,AFINN,2477
anguish,negative,AFINN,2477
anguished,negative,AFINN,2477
animosity,negative,AFINN,2477
annoy,negative,AFINN,2477
